epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7323,0.7558,2.2945,1.14203,0.30428,0.89411,0.40311,0.32646,0.58616,1.29929,0.72214,0.000255671,0.000255671,0.000255671
2,92.9619,0.60325,1.31918,1.04194,0.38768,0.77357,0.50278,0.38983,0.66033,1.22172,0.71544,0.000501867,0.000501867,0.000501867
3,127.784,0.58478,1.18058,1.0241,0.40994,0.73652,0.53462,0.43007,0.59949,1.06113,0.68536,0.000737911,0.000737911,0.000737911
4,162.016,0.57064,1.08191,1.01577,0.38473,0.83195,0.52136,0.41643,0.64835,1.31552,0.68255,0.000723321,0.000723321,0.000723321
5,198.316,0.53884,1.0136,1.00565,0.49259,0.57247,0.51579,0.42815,0.52566,1.64462,0.61227,0.000708095,0.000708095,0.000708095
6,235.211,0.53316,0.98062,1.00085,0.45419,0.78416,0.58325,0.48353,0.57304,1.03378,0.62185,0.000692869,0.000692869,0.000692869
7,270.548,0.51863,0.95345,0.99398,0.42779,0.7773,0.59099,0.48134,0.54257,0.96002,0.60526,0.000677643,0.000677643,0.000677643
8,304.688,0.50442,0.90956,0.99041,0.48841,0.74312,0.56767,0.46308,0.56667,1.24892,0.63966,0.000662417,0.000662417,0.000662417
9,338.715,0.50138,0.89912,0.98274,0.45578,0.69969,0.57105,0.46863,0.59044,1.25219,0.63605,0.00064719,0.00064719,0.00064719
10,373.876,0.49042,0.87264,0.98497,0.56521,0.6471,0.59852,0.48208,0.56816,1.46402,0.63822,0.000631964,0.000631964,0.000631964
11,408.987,0.49652,0.86382,0.9842,0.48571,0.7597,0.61437,0.50197,0.57326,1.00852,0.61452,0.000616738,0.000616738,0.000616738
12,446.078,0.48572,0.84369,0.98224,0.49362,0.67555,0.56862,0.46811,0.56924,1.28911,0.63917,0.000601512,0.000601512,0.000601512
13,482.724,0.47662,0.82813,0.97673,0.49899,0.73944,0.58373,0.4779,0.58471,1.28559,0.64053,0.000586286,0.000586286,0.000586286
14,517.932,0.47057,0.82168,0.97492,0.5388,0.62432,0.57694,0.47957,0.56474,1.67833,0.61024,0.000571059,0.000571059,0.000571059
15,555.657,0.47176,0.80153,0.97794,0.52465,0.711,0.64503,0.53078,0.57151,1.03717,0.62911,0.000555833,0.000555833,0.000555833
16,590.569,0.4678,0.79571,0.97273,0.49546,0.68126,0.5851,0.47805,0.5579,1.42986,0.61367,0.000540607,0.000540607,0.000540607
17,625.383,0.45344,0.76977,0.97197,0.56992,0.65902,0.57623,0.47263,0.52642,1.526,0.59084,0.000525381,0.000525381,0.000525381
18,660.563,0.45907,0.78418,0.97167,0.55635,0.70916,0.6115,0.50542,0.52989,1.1828,0.58774,0.000510155,0.000510155,0.000510155
19,698.686,0.44132,0.75004,0.96315,0.53915,0.6911,0.5969,0.48777,0.5619,1.54923,0.62206,0.000494928,0.000494928,0.000494928
20,734.686,inf,0.75027,0.96916,0.5496,0.6136,0.59854,0.49406,0.56778,1.4593,0.63017,0.000479702,0.000479702,0.000479702
21,769.283,0.44448,0.74002,0.96659,0.58087,0.60167,0.60858,0.50242,0.51377,1.54509,0.57467,0.000464476,0.000464476,0.000464476
22,804.926,0.44813,0.73891,0.96627,0.56076,0.68094,0.62778,0.51912,0.53127,1.37505,0.582,0.00044925,0.00044925,0.00044925
23,839.795,0.44703,0.73529,0.9689,0.5681,0.62692,0.59256,0.48624,0.5268,1.64921,0.58288,0.000434024,0.000434024,0.000434024
